StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q2,Q3,Q4,Q4_3_TEXT,Q7,Q7_12_TEXT,outreach,service,admin,research,writing,teaching,mentoring,Q9,Q10_0_GROUP,Q10_0_1_RANK,Q10_0_4_RANK,Q10_0_5_RANK,Q10_0_6_RANK,Q10_0_7_RANK,Q10_0_8_RANK,Q10_0_9_RANK,Q10_0_10_RANK,Q10_0_11_RANK,Q10_0_13_RANK,Q10_0_14_RANK,Q10_0_15_RANK,Q10_0_16_RANK
5/7/21 20:12,5/7/21 22:42,100,8999,TRUE,5/7/21 22:42,F,D or HH,PreTen,,"NIDILRR,NIH,ED,Fndn,NSF",,Far too little,just right,just right,Slightly too little,just right,just right,Far too little,Extremely positive,"Undergraduate research assistants,Facilities, laboratory and research space,Availability of course release,Availability of Intramural funding,Support for travel to present/conduct research",,,,,5,3,2,,,4,1,,
5/10/21 8:33,5/10/21 8:37,100,282,TRUE,5/10/21 8:37,M,D or HH,Tenured,,"OSERS,Fndn",,Slightly too little,Far too much,,Slightly too little,Slightly too much,just right,just right,Extremely positive,"Support for applying for extramural grants (pre-award),Support for maintaining extramural grants (post-award),Graduate research assistants,Support for research from department chair,Support for travel to present/conduct research",,4,1,2,5,,,,,,,3,
5/10/21 8:37,5/10/21 8:42,100,325,TRUE,5/10/21 8:42,M,D or HH,Lecturer,,"ED,OSERS,Fndn,Other",,Far too little,Slightly too much,Far too much,Slightly too little,Slightly too little,just right,Slightly too little,Neither positive nor negative,"Support for research from department chair,Support for maintaining extramural grants (post-award),Support for research from department peers,Interdisciplinary or cross-college collaborations,Availability of course release",3,1,,2,,5,,,,,,,4
5/10/21 8:37,5/10/21 8:46,100,503,TRUE,5/10/21 8:46,F,H,Tenured,,"NIH,Fndn,Other",,just right,Far too much,just right,Far too little,Far too little,Slightly too much,Slightly too much,Extremely negative,"Support for research from department chair,Availability of course release,Interdisciplinary or cross-college collaborations,Support for research from department peers,Graduate research assistants",4,1,,,,2,,,,,,5,3
5/10/21 8:41,5/10/21 8:46,100,288,TRUE,5/10/21 8:46,M,D or HH,Tenured,,"NIH,NSF",,Slightly too little,Far too much,Far too much,Far too little,Far too little,Far too much,Far too much,Somewhat positive,"Graduate research assistants,Undergraduate research assistants,Facilities, laboratory and research space,Support for applying for extramural grants (pre-award),Support for maintaining extramural grants (post-award)",,,4,5,,,3,,,,2,1,
5/10/21 8:39,5/10/21 8:50,100,699,TRUE,5/10/21 8:50,M,H,Tenured,,"NIDILRR,ED,OSERS,Fndn",,just right,just right,just right,Far too little,Slightly too little,just right,just right,Neither positive nor negative,"Support for applying for extramural grants (pre-award),Interdisciplinary or cross-college collaborations,Undergraduate research assistants,Computing and technical support,Library resources",,,1,,,,,5,4,,3,,2
5/10/21 8:47,5/10/21 8:51,100,261,TRUE,5/10/21 8:51,M,H,Tenured,,"ED,NSF",,just right,just right,just right,just right,just right,just right,just right,Neither positive nor negative,"Facilities, laboratory and research space,Computing and technical support,Support for research from department chair,Library resources,Interdisciplinary or cross-college collaborations",,3,,,,,1,4,2,,,,5
5/10/21 8:36,5/10/21 8:53,100,1006,TRUE,5/10/21 8:53,M,D or HH,Tenured,,NSF,,,Far too much,Far too much,just right,just right,just right,Slightly too little,Somewhat positive,"Availability of Intramural funding,Interdisciplinary or cross-college collaborations,Support for research from department peers,Support for research from department chair,Facilities, laboratory and research space",3,4,,,,,5,,,1,,,2
5/10/21 8:59,5/10/21 9:04,100,331,TRUE,5/10/21 9:04,M,H,Tenured,,Other,personal funds,,,,,,Slightly too much,,Somewhat positive,"Computing and technical support,Availability of course release",,,,,,2,,,1,,,,
5/10/21 8:52,5/10/21 9:16,100,1451,TRUE,5/10/21 9:16,NA,H,Tenured,,"Fndn,NSF,Other",NASA,Slightly too much,Slightly too much,,Far too little,Far too little,Far too much,Slightly too much,Neither positive nor negative,"Availability of course release,Graduate research assistants,Interdisciplinary or cross-college collaborations,Support for research from department chair,Computing and technical support",,4,,,,1,,,5,,,2,3
